Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MN,Hex,10,26,% shift to the left,,,ü,Lyndon B. Johnson,C,,Left,0,,63.8,13.2,211184,10,486,LYNDON B. JOHNSON,Barry M. Goldwater,61.3%,991117,43340299,4.5,2,,,,,,,,,,,,,"The election of 1964 was the sixth-most lopsided presidential election in the history of the United States. President Lyndon B. Johnson had come to office less than a year earlier following the assassination of his predecessor, John F. Kennedy, and Johnson had successfully associated himself with Kennedy's popularity. LBJ advocated for and instituted three social welfare programs: Medicare, Medicaid, and the War on Poverty. Johnson easily won the Presidency, carrying 44 of the 50 states and the District of Columbia. As of 2009, Johnson's 22.6 percentage point-margin of victory in the popular vote is the fifth-largest such margin in Presidential election history. Johnson won 61.1% of the national popular vote, which remains the highest popular-vote percentage won by a U.S.presidential candidate since 1820.",-1.4,D,-50.6,1,-30,-27.8,36.0,-13.2,-198291,,52,BARRY M. GOLDWATER, ,38.5%,559624,27178188,Midwest,2,-26.4,0.5,5,,Minnesota,,Minnesota,D,1554462,70644592,-63.8,D,1964
MI,Hex,21,32,% shift to the left,,,ü,Lyndon B. Johnson,D,,Left,0,,66.7,15.8,449346,21,486,LYNDON B. JOHNSON,Barry M. Goldwater,61.3%,2136615,43340299,7.5,2,,,,,,,,,,,,,"The election of 1964 was the sixth-most lopsided presidential election in the history of the United States. President Lyndon B. Johnson had come to office less than a year earlier following the assassination of his predecessor, John F. Kennedy, and Johnson had successfully associated himself with Kennedy's popularity. LBJ advocated for and instituted three social welfare programs: Medicare, Medicaid, and the War on Poverty. Johnson easily won the Presidency, carrying 44 of the 50 states and the District of Columbia. As of 2009, Johnson's 22.6 percentage point-margin of victory in the popular vote is the fifth-largest such margin in Presidential election history. Johnson won 61.1% of the national popular vote, which remains the highest popular-vote percentage won by a U.S.presidential candidate since 1820.",-2.1,D,-50.9,1,-35,-33.6,33.1,-15.7,-560276,,52,BARRY M. GOLDWATER, ,38.5%,1060152,27178188,Midwest,2,-31.5,0.5,8,,Michigan,,Michigan,D,3203102,70644592,-66.7,D,1964
IL,Hex,26,19,% shift to the left,,,ü,Lyndon B. Johnson,B,,Left,0,,59.5,9.5,418987,26,486,LYNDON B. JOHNSON,Barry M. Goldwater,61.3%,2796833,43340299,6,3,,,,,,,,,,,,,"The election of 1964 was the sixth-most lopsided presidential election in the history of the United States. President Lyndon B. Johnson had come to office less than a year earlier following the assassination of his predecessor, John F. Kennedy, and Johnson had successfully associated himself with Kennedy's popularity. LBJ advocated for and instituted three social welfare programs: Medicare, Medicaid, and the War on Poverty. Johnson easily won the Presidency, carrying 44 of the 50 states and the District of Columbia. As of 2009, Johnson's 22.6 percentage point-margin of victory in the popular vote is the fifth-largest such margin in Presidential election history. Johnson won 61.1% of the national popular vote, which remains the highest popular-vote percentage won by a U.S.presidential candidate since 1820.",-0.200000000,D,-50,1,-20,-19,40.5,-9.3,-463042,,52,BARRY M. GOLDWATER, ,38.5%,1905946,27178188,Midwest,2,-18.8,0.5,6,,Illinois,,Illinois,D,4702841,70644592,-59.5,D,1964
MO,Hex,12,27,% shift to the left,,,ü,Lyndon B. Johnson,C,,Left,0,,64.0,13.7,192143,12,486,LYNDON B. JOHNSON,Barry M. Goldwater,61.3%,1164344,43340299,5.5,4,,,,,,,,,,,,,"The election of 1964 was the sixth-most lopsided presidential election in the history of the United States. President Lyndon B. Johnson had come to office less than a year earlier following the assassination of his predecessor, John F. Kennedy, and Johnson had successfully associated himself with Kennedy's popularity. LBJ advocated for and instituted three social welfare programs: Medicare, Medicaid, and the War on Poverty. Johnson easily won the Presidency, carrying 44 of the 50 states and the District of Columbia. As of 2009, Johnson's 22.6 percentage point-margin of victory in the popular vote is the fifth-largest such margin in Presidential election history. Johnson won 61.1% of the national popular vote, which remains the highest popular-vote percentage won by a U.S.presidential candidate since 1820.",-0.600000000,D,-50.3,1,-30,-28,36.0,-13.7,-308686,,52,BARRY M. GOLDWATER, ,38.5%,653535,27178188,Midwest,4,-27.4,0.5,5,,Missouri,,Missouri,D,1817879,70644592,-64,D,1964
ND,Hex,4,27,% shift to the left,,,ü,Lyndon B. Johnson,B,,Left,0,,58.0,13.5,25821,4,486,LYNDON B. JOHNSON,Barry M. Goldwater,61.3%,149784,43340299,3.5,2,,,,,,,,,,,,,"The election of 1964 was the sixth-most lopsided presidential election in the history of the United States. President Lyndon B. Johnson had come to office less than a year earlier following the assassination of his predecessor, John F. Kennedy, and Johnson had successfully associated himself with Kennedy's popularity. LBJ advocated for and instituted three social welfare programs: Medicare, Medicaid, and the War on Poverty. Johnson easily won the Presidency, carrying 44 of the 50 states and the District of Columbia. As of 2009, Johnson's 22.6 percentage point-margin of victory in the popular vote is the fifth-largest such margin in Presidential election history. Johnson won 61.1% of the national popular vote, which remains the highest popular-vote percentage won by a U.S.presidential candidate since 1820.",10.9,R,55.4,1,-20,-16.1,41.9,-13.5,-46103,,52,BARRY M. GOLDWATER, ,38.5%,108207,27178188,Midwest,2,-27.0,0.5,4,,North Dakota,,North Dakota,D,258389,70644592,-58,D,1964
WI,Hex,12,28,% shift to the left,,,ü,Lyndon B. Johnson,C,,Left,0,,62.1,14.1,219619,12,486,LYNDON B. JOHNSON,Barry M. Goldwater,61.3%,1050424,43340299,5.5,2,,,,,,,,,,,,,"The election of 1964 was the sixth-most lopsided presidential election in the history of the United States. President Lyndon B. Johnson had come to office less than a year earlier following the assassination of his predecessor, John F. Kennedy, and Johnson had successfully associated himself with Kennedy's popularity. LBJ advocated for and instituted three social welfare programs: Medicare, Medicaid, and the War on Poverty. Johnson easily won the Presidency, carrying 44 of the 50 states and the District of Columbia. As of 2009, Johnson's 22.6 percentage point-margin of victory in the popular vote is the fifth-largest such margin in Presidential election history. Johnson won 61.1% of the national popular vote, which remains the highest popular-vote percentage won by a U.S.presidential candidate since 1820.",3.8,R,51.8,1,-25,-24.4,37.7,-14.1,-256680,,52,BARRY M. GOLDWATER, ,38.5%,638495,27178188,Midwest,2,-28.2,0.5,7,,Wisconsin,,Wisconsin,D,1691815,70644592,-62.1,D,1964
SD,Hex,4,28,% shift to the left,,,ü,Lyndon B. Johnson,B,,Left,0,,55.6,13.8,34940,4,486,LYNDON B. JOHNSON,Barry M. Goldwater,61.3%,163010,43340299,4,3,,,,,,,,,,,,,"The election of 1964 was the sixth-most lopsided presidential election in the history of the United States. President Lyndon B. Johnson had come to office less than a year earlier following the assassination of his predecessor, John F. Kennedy, and Johnson had successfully associated himself with Kennedy's popularity. LBJ advocated for and instituted three social welfare programs: Medicare, Medicaid, and the War on Poverty. Johnson easily won the Presidency, carrying 44 of the 50 states and the District of Columbia. As of 2009, Johnson's 22.6 percentage point-margin of victory in the popular vote is the fifth-largest such margin in Presidential election history. Johnson won 61.1% of the national popular vote, which remains the highest popular-vote percentage won by a U.S.presidential candidate since 1820.",16.4,R,58.2,1,-15,-11.2,44.4,-13.8,-48309,,52,BARRY M. GOLDWATER, ,38.5%,130108,27178188,Midwest,3,-27.6,0.5,4,,South Dakota,,South Dakota,D,293118,70644592,-55.6,D,1964
IA,Hex,9,38,% shift to the left,,,ü,Lyndon B. Johnson,C,,Left,0,,61.9,18.7,182465,9,486,LYNDON B. JOHNSON,Barry M. Goldwater,61.3%,733030,43340299,5,3,,,,,,,,,,,,,"The election of 1964 was the sixth-most lopsided presidential election in the history of the United States. President Lyndon B. Johnson had come to office less than a year earlier following the assassination of his predecessor, John F. Kennedy, and Johnson had successfully associated himself with Kennedy's popularity. LBJ advocated for and instituted three social welfare programs: Medicare, Medicaid, and the War on Poverty. Johnson easily won the Presidency, carrying 44 of the 50 states and the District of Columbia. As of 2009, Johnson's 22.6 percentage point-margin of victory in the popular vote is the fifth-largest such margin in Presidential election history. Johnson won 61.1% of the national popular vote, which remains the highest popular-vote percentage won by a U.S.presidential candidate since 1820.",13.5,R,56.7,1,-25,-24,37.9,-18.8,-273233,,52,BARRY M. GOLDWATER, ,38.5%,449148,27178188,Midwest,3,-37.5,0.5,5,,Iowa,,Iowa,D,1184539,70644592,-61.9,D,1964
IN,Hex,13,23,% shift to the left,,,ü,Lyndon B. Johnson,B,,Left,0,,56.0,11.4,218490,13,486,LYNDON B. JOHNSON,Barry M. Goldwater,61.3%,1170848,43340299,7,3,,,,,,,,,,,,,"The election of 1964 was the sixth-most lopsided presidential election in the history of the United States. President Lyndon B. Johnson had come to office less than a year earlier following the assassination of his predecessor, John F. Kennedy, and Johnson had successfully associated himself with Kennedy's popularity. LBJ advocated for and instituted three social welfare programs: Medicare, Medicaid, and the War on Poverty. Johnson easily won the Presidency, carrying 44 of the 50 states and the District of Columbia. As of 2009, Johnson's 22.6 percentage point-margin of victory in the popular vote is the fifth-largest such margin in Presidential election history. Johnson won 61.1% of the national popular vote, which remains the highest popular-vote percentage won by a U.S.presidential candidate since 1820.",10.4,R,55,1,-15,-12.4,43.6,-11.4,-264002,,52,BARRY M. GOLDWATER, ,38.5%,911118,27178188,Midwest,3,-22.8,0.5,6,,Indiana,,Indiana,D,2091606,70644592,-56,D,1964
OH,Hex,26,32,% shift to the left,,,ü,Lyndon B. Johnson,C,,Left,0,,62.9,16.2,554083,26,486,LYNDON B. JOHNSON,Barry M. Goldwater,61.3%,2498331,43340299,8,3,,,,,,,,,,,,,"The election of 1964 was the sixth-most lopsided presidential election in the history of the United States. President Lyndon B. Johnson had come to office less than a year earlier following the assassination of his predecessor, John F. Kennedy, and Johnson had successfully associated himself with Kennedy's popularity. LBJ advocated for and instituted three social welfare programs: Medicare, Medicaid, and the War on Poverty. Johnson easily won the Presidency, carrying 44 of the 50 states and the District of Columbia. As of 2009, Johnson's 22.6 percentage point-margin of victory in the popular vote is the fifth-largest such margin in Presidential election history. Johnson won 61.1% of the national popular vote, which remains the highest popular-vote percentage won by a U.S.presidential candidate since 1820.",6.600000000,R,53.3,1,-30,-25.8,37.1,-16.2,-746746,,52,BARRY M. GOLDWATER, ,38.5%,1470865,27178188,Midwest,3,-32.4,0.5,7,,Ohio,,Ohio,D,3969196,70644592,-62.9,D,1964
