Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MN,Hex,10,15,% shift to the right,George Wallace:	,,,Hubert Humphrey,B,      ,Right,0,ü,54.0,-9.8,-133379,10,191,HUBERT HUMPHREY,Richard Nixon,42.7%,857738,31275166,4.5,2,4.3,,46,● ,),%), (,GEORGE WALLACE,13.5%,68931,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-27.8,D,-63.8,1,-15,-12.5,41.5,5.5,99019,,301,RICHARD NIXON,George Wallace,43.4%,658643,31785480,Midwest,2,15.3,-0.5,5,,Minnesota,,Minnesota,D,1588506,73211875,-54,R,1968
MI,Hex,21,27,% shift to the right,George Wallace:	,,,Hubert Humphrey,A,      ,Right,0,ü,48.2,-18.5,-543533,21,191,HUBERT HUMPHREY,Richard Nixon,42.7%,1593082,31275166,7.5,2,10.0,,46,● ,),%), (,GEORGE WALLACE,13.5%,331968,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-33.6,D,-66.7,1,-10,-6.7,41.5,8.4,310513,,301,RICHARD NIXON,George Wallace,43.4%,1370665,31785480,Midwest,2,26.9,-0.5,8,,Michigan,,Michigan,D,3306250,73211875,-48.2,R,1968
ME,Hex,4,25,% shift to the right,George Wallace:	,,,Hubert Humphrey,B,      ,Right,0,ü,55.3,-13.5,-44952,4,191,HUBERT HUMPHREY,Richard Nixon,42.7%,217312,31275166,11.5,0,1.6,,46,● ,),%), (,GEORGE WALLACE,13.5%,6370,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-37.6,D,-68.8,1,-15,-12.2,43.1,11.9,50553,,301,RICHARD NIXON,George Wallace,43.4%,169254,31785480,Northeast,0,25.4,-0.5,11,,Maine,,Maine,D,392936,73211875,-55.3,R,1968
NY,Hex,43,32,% shift to the right,George Wallace:	,,,Hubert Humphrey,A,      ,Right,0,ü,49.7,-18.9,-1534632,43,191,HUBERT HUMPHREY,Richard Nixon,42.7%,3378470,31275166,9.5,2,5.3,,46,● ,),%), (,GEORGE WALLACE,13.5%,358864,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-37.3,D,-68.6,1,-10,-5.400000000,44.3,13,764373,,301,RICHARD NIXON,George Wallace,43.4%,3007932,31785480,Northeast,2,31.9,-0.5,9,,New York,,New York,D,6791688,73211875,-49.7,R,1968
RI,Hex,4,30,% shift to the right,George Wallace:	,,,Hubert Humphrey,D,      ,Right,0,ü,64.0,-16.9,-68945,4,191,HUBERT HUMPHREY,Richard Nixon,42.7%,246518,31275166,11.5,2,4.1,,46,● ,),%), (,GEORGE WALLACE,13.5%,15678,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-61.8,D,-80.9,1,-35,-32.2,31.8,12.7,47744,,301,RICHARD NIXON,George Wallace,43.4%,122359,31785480,Northeast,2,29.6,-0.5,10,,Rhode Island,,Rhode Island,D,385000,73211875,-64,R,1968
MA,Hex,14,23,% shift to the right,George Wallace:	,,,Hubert Humphrey,D,      ,Right,0,ü,63.0,-13.2,-317204,14,191,HUBERT HUMPHREY,Richard Nixon,42.7%,1469218,31275166,10.5,2,3.7,,46,● ,),%), (,GEORGE WALLACE,13.5%,87088,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-52.8,D,-76.2,1,-35,-30.1,32.9,9.5,217117,,301,RICHARD NIXON,George Wallace,43.4%,766844,31785480,Northeast,2,22.7,-0.5,11,,Massachusetts,,Massachusetts,D,2331752,73211875,-63,R,1968
PA,Hex,29,27,% shift to the right,George Wallace:	,,,Hubert Humphrey,A,      ,Right,0,ü,47.6,-17.3,-871549,29,191,HUBERT HUMPHREY,Richard Nixon,42.7%,2259405,31275166,9,3,8.0,,46,● ,),%), (,GEORGE WALLACE,13.5%,378582,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-30.2,D,-64.9,1,-5,-3.6,44.0,9.3,416360,,301,RICHARD NIXON,George Wallace,43.4%,2090017,31785480,Northeast,3,26.6,-0.5,8,,Pennsylvania,,Pennsylvania,D,4747928,73211875,-47.6,R,1968
CT,Hex,8,31,% shift to the right,George Wallace:	,,,Hubert Humphrey,A,      ,Right,0,ü,49.5,-18.3,-204708,8,191,HUBERT HUMPHREY,Richard Nixon,42.7%,621561,31275166,11,3,6.1,,46,● ,),%), (,GEORGE WALLACE,13.5%,76650,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-35.7,D,-67.8,1,-10,-5.2,44.3,12.2,165725,,301,RICHARD NIXON,George Wallace,43.4%,556721,31785480,Northeast,3,30.5,-0.5,10,,Connecticut,,Connecticut,D,1256232,73211875,-49.5,R,1968
DC,Hex,3,7,% shift to the right,,,,Hubert Humphrey,E,      ,Right,0,ü,81.8,-3.7,-30230,3,191,HUBERT HUMPHREY,Richard Nixon,42.7%,139566,31275166,12,5,0.0,,46,,,,,GEORGE WALLACE,13.5%,,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-71,D,-85.5,1,-65,-63.6,18.2,3.7,2211,,301,RICHARD NIXON,George Wallace,43.4%,31012,31785480,Northeast,4,7.4,-0.5,10,,Dist. of Col.,,Dist. of Col.,D,170578,73211875,-81.8,R,1968
WV,Hex,7,27,% shift to the right,George Wallace:	,,,Hubert Humphrey,A,      ,Right,0,ü,49.6,-18.3,-163996,7,191,HUBERT HUMPHREY,Richard Nixon,42.7%,374091,31275166,7.5,4,9.6,,46,● ,),%), (,GEORGE WALLACE,13.5%,72560,9906473,        ,"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since.",-35.8,D,-67.9,1,-10,-8.8,40.8,8.7,53602,,301,RICHARD NIXON,George Wallace,43.4%,307555,31785480,South,4,27.0,-0.5,7,,West Virginia,,West Virginia,D,754206,73211875,-49.6,R,1968
