Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip â—è,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MN,Hex,10,7,% shift to the left,,,Ã_,Barack Obama,B,,Left,0,,54.1,3,128340,10,365,BARACK OBAMAÂ ,John McCain,52.90%,1573354,69456897,4.5,2,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-3.5,D,-51.1,1,-15,-10.3,43.8,-3.8,-71286,,173,JOHN McCAIN, ,45.70%,1275409,59934814,Midwest,2,-6.8,0.5,5,,Minnesota,,Minnesota,D,2910369,131278107,-54.1,D,2008
WI,Hex,10,14,% shift to the left,,,Ã_,Barack Obama,B,,Left,0,,56.2,6.5,187707,10,365,BARACK OBAMAÂ ,John McCain,52.90%,1677211,69456897,5.5,2,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-0.4,D,-49.7,1,-15,-13.9,42.3,-7,-215727,,173,JOHN McCAIN, ,45.70%,1262393,59934814,Midwest,2,-13.5,0.5,7,,Wisconsin,,Wisconsin,D,2983417,131278107,-56.2,D,2008
MI,Hex,17,13,% shift to the left,,,Ã_,Barack Obama,B,,Left,0,,57.4,6.2,393396,17,365,BARACK OBAMAÂ ,John McCain,52.90%,2872579,69456897,7.5,2,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-3.4,D,-51.2,1,-20,-16.4,41,-6.8,-265107,,173,JOHN McCAIN, ,45.70%,2048639,59934814,Midwest,2,-13,0.5,8,,Michigan,,Michigan,D,5001766,131278107,-57.4,D,2008
IL,Hex,21,15,% shift to the left,,,Ã_,Barack Obama,C,,Left,0,,61.9,7.1,528123,21,365,BARACK OBAMAÂ ,John McCain,52.90%,3419673,69456897,6,3,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-10.3,D,-54.8,1,-30,-25.1,36.8,-7.7,-314419,,173,JOHN McCAIN, ,45.70%,2031527,59934814,Midwest,2,-14.8,0.5,6,,Illinois,,Illinois,D,5523051,131278107,-61.9,D,2008
IA,Hex,7,10,% shift to the left,,,Ã_,Barack Obama,A,,Left,0,,53.7,4.5,87042,7,365,BARACK OBAMAÂ ,John McCain,52.90%,828940,69456897,5,3,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",0.7,R,49.9,1,-10,-9.5,44.2,-5.7,-69578,,173,JOHN McCAIN, ,45.70%,682379,59934814,Midwest,3,-10.2,0.5,5,,Iowa,,Iowa,D,1543662,131278107,-53.7,D,2008
IN,Hex,11,22,% shift to the left,,,Ã_,Barack Obama,A,,Left,0,,49.9,10.6,405028,11,365,BARACK OBAMAÂ ,John McCain,52.90%,1374039,69456897,7,3,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",20.6,R,59.9,1,-5,-1,48.9,-11,-133790,,173,JOHN McCAIN, ,45.70%,1345648,59934814,Midwest,3,-21.6,0.5,6,,Indiana,,Indiana,D,2751054,131278107,-49.9,D,2008
OH,Hex,20,7,% shift to the left,,,Ã_,Barack Obama,A,,Left,0,,51.5,2.8,192221,20,365,BARACK OBAMAÂ ,John McCain,52.90%,2933388,69456897,8,3,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",2.1,R,50.8,1,-5,-4.6,46.9,-3.9,-185277,,173,JOHN McCAIN, ,45.70%,2674491,59934814,Midwest,3,-6.7,0.5,7,,Ohio,,Ohio,D,5698260,131278107,-51.5,D,2008
ME,Hex,4,8,% shift to the left,,,Ã_,Barack Obama,B,,Left,0,,57.7,4.1,25081,4,365,BARACK OBAMAÂ ,John McCain,52.90%,421923,69456897,11.5,0,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-9,D,-53.6,1,-20,-17.3,40.4,-4.2,-34928,,173,JOHN McCAIN, ,45.70%,295273,59934814,Northeast,0,-8.3,0.5,11,,Maine,,Maine,D,731163,131278107,-57.7,D,2008
VT,Hex,3,17,% shift to the left,,,Ã_,Barack Obama,D,,Left,0,,67.5,8.6,35195,3,365,BARACK OBAMAÂ ,John McCain,52.90%,219262,69456897,10,1,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-20.1,D,-58.9,1,-40,-37.1,30.4,-8.4,-22206,,173,JOHN McCAIN, ,45.70%,98974,59934814,Northeast,1,-17,0.5,10,,Vermont,,Vermont,D,325046,131278107,-67.5,D,2008
NH,Hex,4,8,% shift to the left,,,Ã_,Barack Obama,A,,Left,0,,54.4,4.2,44315,4,365,BARACK OBAMAÂ ,John McCain,52.90%,384826,69456897,11,1,,,,,,,,,,,,,"Outgoing Republican President George W. Bush's policies and actions and the American public's desire for change were key issues throughout the 2008 election. Domestic policy and the economy eventually emerged as the main themes in the last few months after the onset of the 2008 economic crisis. Democrat Barack Obama, then junior United States Senator from Illinois, defeated Republican John McCain. This unique election was the first in which an African American was elected President. It was the first time two sitting senators ran against each other. It was also the first time the Republican Party nominated a woman for Vice President (Sarah Palin, then-Governor of Alaska). Additionally, it was the first election in which both major parties nominated candidates who were born outside of the contiguous United States.",-1.3,D,-50.2,1,-10,-9.7,44.7,-4.2,-14703,,173,JOHN McCAIN, ,45.70%,316534,59934814,Northeast,1,-8.4,0.5,11,,New Hampshire,,New Hampshire,D,707611,131278107,-54.4,D,2008
