Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip 䄏,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MN,Hex,10,,,,,,Hillary Clinton,,,,0,,46.9,,,10,227,Hillary Clinton,Donald Trump,48.20%,1367716,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-7.7,D,-52.7,1,-10,-1.5,45.4,,,,304,Donald Trump, ,46.10%,1322951,62985106,Midwest,2,,-0.5,5,,Minnesota,,Minnesota,D,2944813,136628459,,R,2016
WI,Hex,10,,,,,,Hillary Clinton,,,,0,,46.9,,,,227,Hillary Clinton,Donald Trump,48.20%,1382536,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-6.9,D,-52.9,1,-10,1,47.9,,,10,304,Donald Trump, ,46.10%,1405284,62985106,Midwest,2,,-0.5,7,Wisconsin,,,Wisconsin,R,2976150,136628459,,R,2016
MI,Hex,16,,,,,,Hillary Clinton,,,,0,,47.3,,,,227,Hillary Clinton,Donald Trump,48.20%,2268839,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-9.5,D,-54.2,1,-10,0.3,47.6,,,16,304,Donald Trump, ,46.10%,2279543,62985106,Midwest,2,,-0.5,8,Michigan,,,Michigan,R,4799284,136628459,,R,2016
IL,Hex,20,,,,,,Hillary Clinton,,,,0,,55.4,,,20,227,Hillary Clinton,Donald Trump,48.20%,3090729,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-16.9,D,-57.6,1,-20,-16,39.4,,,,304,Donald Trump, ,46.10%,2146015,62985106,Midwest,2,,-0.5,6,,Illinois,,Illinois,D,5536424,136628459,,R,2016
IA,Hex,6,,,,,,Hillary Clinton,,,,0,,42.2,,,,227,Hillary Clinton,Donald Trump,48.20%,653669,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-5.8,D,-52,1,-10,9.6,51.8,,,6,304,Donald Trump, ,46.10%,800983,62985106,Midwest,3,,-0.5,5,Iowa,,,Iowa,R,1566031,136628459,,R,2016
OH,Hex,18,,,,,,Hillary Clinton,,,,0,,43.5,,,,227,Hillary Clinton,Donald Trump,48.20%,2394164,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-3,D,-50.7,1,-5,8.6,52.1,,,18,304,Donald Trump, ,46.10%,2841005,62985106,Midwest,3,,-0.5,7,Ohio,,,Ohio,R,5496487,136628459,,R,2016
ME,Hex,4,,,,,,Hillary Clinton,,,,0,,47.9,,,3,227,Hillary Clinton,Donald Trump,48.20%,357735,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-15.3,D,-56.3,1,-20,-2.7,45.2,,,1,304,Donald Trump, ,46.10%,335593,62985106,Northeast,0,,-0.5,11,,Maine,,Maine,,747927,136628459,,R,2016
VT,Hex,3,,,,,,Hillary Clinton,,,,0,,61.1,,,3,227,Hillary Clinton,Donald Trump,48.20%,178573,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-35.6,D,-66.6,1,-40,-28.5,32.6,,,,304,Donald Trump, ,46.10%,"95,369",62985106,Northeast,1,,-0.5,10,,Vermont,,Vermont,D,315067,136628459,,R,2016
NH,Hex,4,,,,,,Hillary Clinton,,,,0,,47.6,,,4,227,Hillary Clinton,Donald Trump,48.20%,348526,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-5.5,D,-52,1,-10,-0.4,47.2,,,,304,Donald Trump, ,46.10%,345790,62985106,Northeast,1,,-0.5,11,,New Hampshire,,New Hampshire,D,744296,136628459,,R,2016
NY,Hex,29,,,,,,Hillary Clinton,,,,0,,58.8,,,29,227,Hillary Clinton,Donald Trump,48.20%,4556124,65853625,,,,,,,,,,,,,,,"Although most major media outlets insisted before the election that the race was too close to predict a winner in advance, analysts using statistical models, bookmakers, and betting markets had Obama as a clear favorite. At around 11:15 PM EST on Election Day, most major television networks called Ohio for Obama, projecting him the winner of the election. At around 1:00 AM EST on November 7, Romney conceded the election to Obama. By November 10, the electoral outcomes of all 50 states and the District of Columbia had been definitively projected. Obama won 332 electoral votes and carried all the states and districts (among states that allocate electoral votes by district) that he had won in the 2008 election except North Carolina, Indiana, and Nebraska's 2nd congressional district.",-28.2,D,-63.4,1,-30,-21.3,37.5,,,,304,Donald Trump, ,46.10%,2819534,62985106,Northeast,2,,0.5,9,,New York,,New York,D,7721453,136628459,,R,2016
