Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MO,Hex,13,2,% shift to the left,,,,Adlai E. Stevenson,A,,Left,0,ü,50.1,1,-11557,13,73,ADLAI E. STEVENSON,Dwight D. Eisenhower,42.0%,918273,26022752,5.5,4,,,,,,,,,,,,,"The election of 1956 saw a popular Dwight D. Eisenhower successfully run for re-election. The 1956 election was a rematch of 1952, as Eisenhower's opponent in 1956 was Democrat Adlai Stevenson, whom Eisenhower had defeated four years earlier. Incumbent President Eisenhower was popular, but had health conditions that became a quiet issue. Stevenson remained popular with a core of liberal Democrats but held no office and had no real base. He (and Eisenhower) largely ignored the civil rights issue. Eisenhower had ended the Korean War and the nation was prosperous, so a landslide for the charismatic Eisenhower was never in doubt. This was the last presidential election prior to the statehood of Alaska and Hawaii, who would first take part as states in the 1960 presidential election.",1.6,R,50.7,1,-5,-0.200000000,49.9,-0.800000000,-45140,,457,DWIGHT D. EISENHOWER, ,57.4%,914289,35590472,Midwest,4,-1.8,0.5,5,,Missouri,,Missouri,D,1832562,62026908,-50.1,R,1956
AR,Hex,8,5,% shift to the right,,,,Adlai E. Stevenson,A,,Right,0,ü,52.5,-3.4,-13023,8,73,ADLAI E. STEVENSON,Dwight D. Eisenhower,42.0%,213277,26022752,6,5,,,,,,,,,,,,,"The election of 1956 saw a popular Dwight D. Eisenhower successfully run for re-election. The 1956 election was a rematch of 1952, as Eisenhower's opponent in 1956 was Democrat Adlai Stevenson, whom Eisenhower had defeated four years earlier. Incumbent President Eisenhower was popular, but had health conditions that became a quiet issue. Stevenson remained popular with a core of liberal Democrats but held no office and had no real base. He (and Eisenhower) largely ignored the civil rights issue. Eisenhower had ended the Korean War and the nation was prosperous, so a landslide for the charismatic Eisenhower was never in doubt. This was the last presidential election prior to the statehood of Alaska and Hawaii, who would first take part as states in the 1960 presidential election.",-12.1,D,-55.9,1,-10,-6.7,45.8,2,9132,,457,DWIGHT D. EISENHOWER, ,57.4%,186287,35590472,South,5,5.4,-0.5,5,,Arkansas,,Arkansas,D,406572,62026908,-52.5,R,1956
NC,Hex,14,6,% shift to the right,,,,Adlai E. Stevenson,A,,Right,0,ü,50.7,-3.2,-62273,14,73,ADLAI E. STEVENSON,Dwight D. Eisenhower,42.0%,590530,26022752,9,5,,,,,,,,,,,,,"The election of 1956 saw a popular Dwight D. Eisenhower successfully run for re-election. The 1956 election was a rematch of 1952, as Eisenhower's opponent in 1956 was Democrat Adlai Stevenson, whom Eisenhower had defeated four years earlier. Incumbent President Eisenhower was popular, but had health conditions that became a quiet issue. Stevenson remained popular with a core of liberal Democrats but held no office and had no real base. He (and Eisenhower) largely ignored the civil rights issue. Eisenhower had ended the Korean War and the nation was prosperous, so a landslide for the charismatic Eisenhower was never in doubt. This was the last presidential election prior to the statehood of Alaska and Hawaii, who would first take part as states in the 1960 presidential election.",-7.8,D,-53.9,1,-5,-1.400000000,49.3,3.2,16955,,457,DWIGHT D. EISENHOWER, ,57.4%,575062,35590472,South,5,6.4,-0.5,7,,North Carolina,,North Carolina,D,1165592,62026908,-50.7,R,1956
SC,Hex,8,28,% shift to the right,,,,Adlai E. Stevenson,C,,Right,0,ü,45.4,-5.3,-36632,8,73,ADLAI E. STEVENSON,Dwight D. Eisenhower,42.0%,136372,26022752,8.5,6,,,,,,,,,,,,,"The election of 1956 saw a popular Dwight D. Eisenhower successfully run for re-election. The 1956 election was a rematch of 1952, as Eisenhower's opponent in 1956 was Democrat Adlai Stevenson, whom Eisenhower had defeated four years earlier. Incumbent President Eisenhower was popular, but had health conditions that became a quiet issue. Stevenson remained popular with a core of liberal Democrats but held no office and had no real base. He (and Eisenhower) largely ignored the civil rights issue. Eisenhower had ended the Korean War and the nation was prosperous, so a landslide for the charismatic Eisenhower was never in doubt. This was the last presidential election prior to the statehood of Alaska and Hawaii, who would first take part as states in the 1960 presidential election.",-47.8,D,-50.7,1,-25,-20.2,25.2,22.3,65907,,457,DWIGHT D. EISENHOWER, ,57.4%,75700,35590472,South,5,27.6,-0.5,8,,South Carolina,,South Carolina,D,300583,62026908,-45.4,R,1956
MS,Hex,8,13,% shift to the left,,,,Adlai E. Stevenson,D,,Left,0,ü,58.2,-2.2,-28113,8,73,ADLAI E. STEVENSON,Dwight D. Eisenhower,42.0%,144453,26022752,6.5,6,,,,,,,,,,,,,"The election of 1956 saw a popular Dwight D. Eisenhower successfully run for re-election. The 1956 election was a rematch of 1952, as Eisenhower's opponent in 1956 was Democrat Adlai Stevenson, whom Eisenhower had defeated four years earlier. Incumbent President Eisenhower was popular, but had health conditions that became a quiet issue. Stevenson remained popular with a core of liberal Democrats but held no office and had no real base. He (and Eisenhower) largely ignored the civil rights issue. Eisenhower had ended the Korean War and the nation was prosperous, so a landslide for the charismatic Eisenhower was never in doubt. This was the last presidential election prior to the statehood of Alaska and Hawaii, who would first take part as states in the 1960 presidential election.",-20.8,D,-60.4,1,-35,-33.7,24.5,-15.1,-52281,,457,DWIGHT D. EISENHOWER, ,57.4%,60685,35590472,South,6,-12.9,0.5,6,,Mississippi,,Mississippi,D,248104,62026908,-58.2,R,1956
AL,Hex,10,13,% shift to the right,,,,Adlai E. Stevenson,B,,Right,0,ü,56.5,-8.100000000,5769,10,73,ADLAI E. STEVENSON,Dwight D. Eisenhower,42.0%,280844,26022752,7.5,6,,,,,,,,,,,,,"The election of 1956 saw a popular Dwight D. Eisenhower successfully run for re-election. The 1956 election was a rematch of 1952, as Eisenhower's opponent in 1956 was Democrat Adlai Stevenson, whom Eisenhower had defeated four years earlier. Incumbent President Eisenhower was popular, but had health conditions that became a quiet issue. Stevenson remained popular with a core of liberal Democrats but held no office and had no real base. He (and Eisenhower) largely ignored the civil rights issue. Eisenhower had ended the Korean War and the nation was prosperous, so a landslide for the charismatic Eisenhower was never in doubt. This was the last presidential election prior to the statehood of Alaska and Hawaii, who would first take part as states in the 1960 presidential election.",-29.6,D,-64.6,1,-20,-17.1,39.4,4.4,46463,,457,DWIGHT D. EISENHOWER, ,57.4%,195694,35590472,South,6,12.5,-0.5,7,,Alabama,,Alabama,D,496861,62026908,-56.5,R,1956
GA,Hex,12,6,% shift to the right,,,,Adlai E. Stevenson,D,,Right,0,ü,66.4,-3.3,-12135,12,73,ADLAI E. STEVENSON,Dwight D. Eisenhower,42.0%,444688,26022752,8,7,,,,,,,,,,,,,"The election of 1956 saw a popular Dwight D. Eisenhower successfully run for re-election. The 1956 election was a rematch of 1952, as Eisenhower's opponent in 1956 was Democrat Adlai Stevenson, whom Eisenhower had defeated four years earlier. Incumbent President Eisenhower was popular, but had health conditions that became a quiet issue. Stevenson remained popular with a core of liberal Democrats but held no office and had no real base. He (and Eisenhower) largely ignored the civil rights issue. Eisenhower had ended the Korean War and the nation was prosperous, so a landslide for the charismatic Eisenhower was never in doubt. This was the last presidential election prior to the statehood of Alaska and Hawaii, who would first take part as states in the 1960 presidential election.",-39.4,D,-69.7,1,-35,-33.1,33.3,3,23817,,457,DWIGHT D. EISENHOWER, ,57.4%,222778,35590472,South,6,6.3,-0.5,8,,Georgia,,Georgia,D,669655,62026908,-66.4,R,1956
ND,Hex,4,19,% shift to the left,,,,Adlai E. Stevenson,H,,Left,0,ü,38.1,9.7,20048,,73,ADLAI E. STEVENSON,Dwight D. Eisenhower,42.0%,96742,26022752,3.5,2,,,,,,,,,,,,,"The election of 1956 saw a popular Dwight D. Eisenhower successfully run for re-election. The 1956 election was a rematch of 1952, as Eisenhower's opponent in 1956 was Democrat Adlai Stevenson, whom Eisenhower had defeated four years earlier. Incumbent President Eisenhower was popular, but had health conditions that became a quiet issue. Stevenson remained popular with a core of liberal Democrats but held no office and had no real base. He (and Eisenhower) largely ignored the civil rights issue. Eisenhower had ended the Korean War and the nation was prosperous, so a landslide for the charismatic Eisenhower was never in doubt. This was the last presidential election prior to the statehood of Alaska and Hawaii, who would first take part as states in the 1960 presidential election.",42.6,R,71,1,20,23.6,61.7,-9.3,-34946,4,457,DWIGHT D. EISENHOWER, ,57.4%,156766,35590472,Midwest,2,-19.0,0.5,4,North Dakota,,,North Dakota,R,253991,62026908,61.7,R,1956
MN,Hex,11,4,% shift to the left,,,,Adlai E. Stevenson,F,,Left,0,ü,46.1,2,9067,,73,ADLAI E. STEVENSON,Dwight D. Eisenhower,42.0%,617525,26022752,4.5,2,,,,,,,,,,,,,"The election of 1956 saw a popular Dwight D. Eisenhower successfully run for re-election. The 1956 election was a rematch of 1952, as Eisenhower's opponent in 1956 was Democrat Adlai Stevenson, whom Eisenhower had defeated four years earlier. Incumbent President Eisenhower was popular, but had health conditions that became a quiet issue. Stevenson remained popular with a core of liberal Democrats but held no office and had no real base. He (and Eisenhower) largely ignored the civil rights issue. Eisenhower had ended the Korean War and the nation was prosperous, so a landslide for the charismatic Eisenhower was never in doubt. This was the last presidential election prior to the statehood of Alaska and Hawaii, who would first take part as states in the 1960 presidential election.",11.2,R,55.3,1,5,7.6,53.7,-1.600000000,-43909,11,457,DWIGHT D. EISENHOWER, ,57.4%,719302,35590472,Midwest,2,-3.6,0.5,5,Minnesota,,,Minnesota,R,1340005,62026908,53.7,R,1956
WI,Hex,12,2,% shift to the right,,,,Adlai E. Stevenson,H,,Right,0,ü,37.8,-0.900000000,-35407,,73,ADLAI E. STEVENSON,Dwight D. Eisenhower,42.0%,586768,26022752,5.5,2,,,,,,,,,,,,,"The election of 1956 saw a popular Dwight D. Eisenhower successfully run for re-election. The 1956 election was a rematch of 1952, as Eisenhower's opponent in 1956 was Democrat Adlai Stevenson, whom Eisenhower had defeated four years earlier. Incumbent President Eisenhower was popular, but had health conditions that became a quiet issue. Stevenson remained popular with a core of liberal Democrats but held no office and had no real base. He (and Eisenhower) largely ignored the civil rights issue. Eisenhower had ended the Korean War and the nation was prosperous, so a landslide for the charismatic Eisenhower was never in doubt. This was the last presidential election prior to the statehood of Alaska and Hawaii, who would first take part as states in the 1960 presidential election.",22.3,R,61,1,20,23.8,61.6,0.600000000,-24900,12,457,DWIGHT D. EISENHOWER, ,57.4%,954844,35590472,Midwest,2,1.5,-0.5,7,Wisconsin,,,Wisconsin,R,1550558,62026908,61.6,R,1956
