Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MN,Hex,10,5,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,51.1,7.6,99441,10,379,BILL CLINTON,Robert Dole ,49.2%,1120438,47402357,4.5,2,11.8,,,● ,),%), (,ROSS PEROT,8.4%,257704,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-11.6,D,-43.5,1,-20,-16.1,35.0,3.1,18635,,159,ROBERT DOLE ,Ross Perot,40.7%,766476,39198755,Midwest,2,-4.5,0.5,5,,Minnesota,,Minnesota,D,2192640,96277223,-51.1,D,1996
WI,Hex,11,6,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,48.8,7.7,30905,11,379,BILL CLINTON,Robert Dole ,49.2%,1071971,47402357,5.5,2,10.4,,,● ,),%), (,ROSS PEROT,8.4%,227339,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-4.3,D,-41.1,1,-15,-10.3,38.5,1.7,-85826,,159,ROBERT DOLE ,Ross Perot,40.7%,845029,39198755,Midwest,2,-6.0,0.5,7,,Wisconsin,,Wisconsin,D,2196169,96277223,-48.8,D,1996
MI,Hex,18,6,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,51.7,7.900000000,118471,18,379,BILL CLINTON,Robert Dole ,49.2%,1989653,47402357,7.5,2,8.7,,,● ,),%), (,ROSS PEROT,8.4%,336670,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-7.4,D,-43.8,1,-15,-13.2,38.5,2.1,-73728,,159,ROBERT DOLE ,Ross Perot,40.7%,1481212,39198755,Midwest,2,-5.8,0.5,8,,Michigan,,Michigan,D,3848844,96277223,-51.7,D,1996
IL,Hex,22,3,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,54.3,5.7,-111606,22,379,BILL CLINTON,Robert Dole ,49.2%,2341744,47402357,6,3,8.0,,,● ,),%), (,ROSS PEROT,8.4%,346408,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-14.3,D,-48.6,1,-20,-17.5,36.8,2.5,-147075,,159,ROBERT DOLE ,Ross Perot,40.7%,1587021,39198755,Midwest,2,-3.2,0.5,6,,Illinois,,Illinois,D,4311391,96277223,-54.3,D,1996
IA,Hex,7,4,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,50.3,7,33905,7,379,BILL CLINTON,Robert Dole ,49.2%,620258,47402357,5,3,8.5,,,● ,),%), (,ROSS PEROT,8.4%,105159,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-6,D,-43.3,1,-15,-10.4,39.9,2.6,-12247,,159,ROBERT DOLE ,Ross Perot,40.7%,492644,39198755,Midwest,3,-4.4,0.5,5,,Iowa,,Iowa,D,1234075,96277223,-50.3,D,1996
OH,Hex,21,4,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,47.4,7.2,163280,21,379,BILL CLINTON,Robert Dole ,49.2%,2148222,47402357,8,3,10.7,,,● ,),%), (,ROSS PEROT,8.4%,483207,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-1.900000000,D,-40.2,1,-10,-6.4,41.0,2.7,-34427,,159,ROBERT DOLE ,Ross Perot,40.7%,1859883,39198755,Midwest,3,-4.5,0.5,7,,Ohio,,Ohio,D,4534434,96277223,-47.4,D,1996
MO,Hex,11,4,% shift to the right,Ross Perot:	,,ü,Bill Clinton,A,,Right,0,,47.5,3.4,-27938,11,379,BILL CLINTON,Robert Dole ,49.2%,1025935,47402357,5.5,4,10.1,,,● ,),%), (,ROSS PEROT,8.4%,217188,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-10.2,D,-44.1,1,-10,-6.3,41.2,7.3,78857,,159,ROBERT DOLE ,Ross Perot,40.7%,890016,39198755,Midwest,4,3.9,-0.5,5,,Missouri,,Missouri,D,2158065,96277223,-47.5,D,1996
ME,Hex,4,12,% shift to the left,Ross Perot:	,,ü,Bill Clinton,C,,Left,0,,51.6,12.8,49368,4,379,BILL CLINTON,Robert Dole ,49.2%,312788,47402357,11.5,0,14.2,,,● ,),%), (,ROSS PEROT,8.4%,85970,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-8.4,D,-38.8,1,-25,-20.8,30.8,0.400000000,-20126,,159,ROBERT DOLE ,Ross Perot,40.7%,186378,39198755,Northeast,0,-12.4,0.5,11,,Maine,,Maine,D,605897,96277223,-51.6,D,1996
VT,Hex,3,7,% shift to the left,Ross Perot:	,,ü,Bill Clinton,C,,Left,0,,53.4,7.3,4302,3,379,BILL CLINTON,Robert Dole ,49.2%,137894,47402357,10,1,12.0,,,● ,),%), (,ROSS PEROT,8.4%,31024,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-15.7,D,-46.1,1,-25,-22.3,31.1,0.700000000,-7770,,159,ROBERT DOLE ,Ross Perot,40.7%,80352,39198755,Northeast,1,-6.6,0.5,10,,Vermont,,Vermont,D,258449,96277223,-53.4,D,1996
NH,Hex,4,9,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,49.3,10.4,37174,4,379,BILL CLINTON,Robert Dole ,49.2%,246214,47402357,11,1,9.7,,,● ,),%), (,ROSS PEROT,8.4%,48390,8085402,   ,"The election of 1996 was a contest between the Democratic ticket of President Bill Clinton of Arkansas and Vice President Al Gore and the Republican ticket of former Senator Bob Dole of Kansas for President and former Housing Secretary Jack Kemp of New York for Vice President. Businessman Ross Perot ran as candidate for the Reform Party; he received less media attention and was excluded from the presidential debates and, while still obtaining substantial results for a third-party candidate, by U.S. standards, did not renew his success in the 1992 election. Clinton benefited from an economy which recovered from the early 1990s recession, and a relatively stable world stage. President Clinton went on to win re-election with a substantial margin in the popular vote and electoral college.",-1.3,D,-38.9,1,-10,-9.9,39.4,1.8,-5952,,159,ROBERT DOLE ,Ross Perot,40.7%,196532,39198755,Northeast,1,-8.6,0.5,11,,New Hampshire,,New Hampshire,D,499175,96277223,-49.3,D,1996
