Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MN,Hex,10,18,% shift to the left,,,ü,Jimmy Carter,B,,Left,0,,54.9,8.8,268094,10,297,JIMMY CARTER,Gerald R. Ford,50.1%,1070440,40830763,4.5,2,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",5.5,R,51.6,1,-15,-12.9,42.0,-9.6,-78874,,240,GERALD R. FORD, ,48.0%,819395,39147793,Midwest,2,-18.4,0.5,5,,Minnesota,,Minnesota,D,1949931,81555889,-54.9,D,1976
WI,Hex,11,11,% shift to the left,,,ü,Jimmy Carter,A,,Left,0,,49.4,5.7,230058,11,297,JIMMY CARTER,Gerald R. Ford,50.1%,1040232,40830763,5.5,2,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",9.7,R,53.4,1,-5,-1.6,47.8,-5.6,15557,,240,GERALD R. FORD, ,48.0%,1004987,39147793,Midwest,2,-11.3,0.5,7,,Wisconsin,,Wisconsin,D,2104175,81555889,-49.4,D,1976
OH,Hex,25,22,% shift to the left,,,ü,Jimmy Carter,A,,Left,0,,48.9,10.8,452732,25,297,JIMMY CARTER,Gerald R. Ford,50.1%,2011621,40830763,8,3,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",21.5,R,59.6,1,-5,-0.200000000,48.7,-10.9,-441322,,240,GERALD R. FORD, ,48.0%,2000505,39147793,Midwest,3,-21.7,0.5,7,,Ohio,,Ohio,D,4111873,81555889,-48.9,D,1976
MO,Hex,12,28,% shift to the left,,,ü,Jimmy Carter,A,,Left,0,,51.1,13.5,301240,12,297,JIMMY CARTER,Gerald R. Ford,50.1%,998387,40830763,5.5,4,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",24.6,R,62.2,1,-5,-3.6,47.5,-14.7,-226409,,240,GERALD R. FORD, ,48.0%,927443,39147793,Midwest,4,-28.2,0.5,5,,Missouri,,Missouri,D,1953600,81555889,-51.1,D,1976
MA,Hex,14,7,% shift to the left,,,ü,Jimmy Carter,B,,Left,0,,56.1,1.9,96935,14,297,JIMMY CARTER,Gerald R. Ford,50.1%,1429475,40830763,10.5,2,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",-9,D,-54.2,1,-20,-15.7,40.4,-4.8,-81802,,240,GERALD R. FORD, ,48.0%,1030276,39147793,Northeast,2,-6.7,0.5,11,,Massachusetts,,Massachusetts,D,2547558,81555889,-56.1,D,1976
DC,Hex,3,9,% shift to the left,,,ü,Jimmy Carter,E,,Left,0,,81.6,3.5,10191,3,297,JIMMY CARTER,Gerald R. Ford,50.1%,137818,40830763,12,5,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",-56.5,D,-78.1,1,-70,-65.1,16.5,-5.1,-7353,,240,GERALD R. FORD, ,48.0%,27873,39147793,Northeast,4,-8.6,0.5,10,,Dist. of Col.,,Dist. of Col.,D,168830,81555889,-81.6,D,1976
NY,Hex,41,22,% shift to the left,,,ü,Jimmy Carter,A,,Left,0,,51.9,10.7,438474,41,297,JIMMY CARTER,Gerald R. Ford,50.1%,3389558,40830763,9.5,2,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",17.3,R,58.5,1,-5,-4.4,47.5,-11,-1091987,,240,GERALD R. FORD, ,48.0%,3100791,39147793,Northeast,2,-21.7,0.5,9,,New York,,New York,D,6534170,81555889,-51.9,D,1976
RI,Hex,4,18,% shift to the left,,,ü,Jimmy Carter,B,,Left,0,,55.4,8.6,32991,4,297,JIMMY CARTER,Gerald R. Ford,50.1%,227636,40830763,11.5,2,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",6.2,R,53,1,-15,-11.3,44.1,-8.9,-39134,,240,GERALD R. FORD, ,48.0%,181249,39147793,Northeast,2,-17.5,0.5,10,,Rhode Island,,Rhode Island,D,411170,81555889,-55.4,D,1976
PA,Hex,27,23,% shift to the left,,,ü,Jimmy Carter,A,,Left,0,,50.4,11.3,531726,27,297,JIMMY CARTER,Gerald R. Ford,50.1%,2328677,40830763,9,3,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",20,R,59.1,1,-5,-2.7,47.7,-11.4,-508917,,240,GERALD R. FORD, ,48.0%,2205604,39147793,Northeast,3,-22.7,0.5,8,,Pennsylvania,,Pennsylvania,D,4620787,81555889,-50.4,D,1976
DE,Hex,3,26,% shift to the left,,,ü,Jimmy Carter,A,,Left,0,,52.0,12.8,30313,3,297,JIMMY CARTER,Gerald R. Ford,50.1%,122596,40830763,9.5,4,,,,,,,,,,,,,"The United States presidential election of 1976 followed the resignation of President Richard Nixon in the wake of the Watergate scandal. It pitted incumbent President Gerald Ford, the Republican candidate, against the relatively unknown former governor of Georgia, Jimmy Carter, the Democratic candidate. Ford was saddled with a slow economy and paid a political price for his pardon of Nixon. Carter ran as a Washington outsider and reformer and won a narrow victory. He was the first president elected from the Deep South since Zachary Taylor in 1848.",20.4,R,59.6,1,-10,-5.4,46.6,-13,-30526,,240,GERALD R. FORD, ,48.0%,109831,39147793,Northeast,5,-25.8,0.5,9,,Delaware,,Delaware,D,235834,81555889,-52,D,1976
