Team,Opponent,Wins,Losses,ParentGame
France,Argentina,1,0,20
Uruguay,Portugal,1,0,16
Brazil,Mexico,1,0,17
Belgium,Japan,1,0,21
Spain,Russia,0,1,19
Croatia,Denmark,1,0,23
Sweden,Switzerland,1,0,18
Colombia,England,0,1,22
Argentina,France,0,1,20
Portugal,Uruguay,0,1,16
Mexico,Brazil,0,1,17
Japan,Belgium,0,1,21
Russia,Spain,1,0,19
Denmark,Croatia,0,1,23
Switzerland,Sweden,0,1,18
England,Colombia,1,0,22
Uruguay,France,0,1,24
Brazil,Belgium,0,1,26
Sweden,England,0,1,27
Russia,Croatia,0,1,25
France,Uruguay,1,0,24
Belgium,Brazil,1,0,26
England,Sweden,1,0,27
Croatia,Russia,1,0,25
France,Belgium,1,0,28
Croatia,England,1,0,29
Belgium,France,0,1,28
England,Croatia,0,1,29
France,Croatia,1,0,30
Croatia,France,0,1,30
France,,1,0,
